study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB1683	SAMEA1557407	ERX149133	ERR173170	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173170/ERR173170.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173170/ERR173170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173170/ERR173170_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173170/DU23M01_Duroc_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173170
PRJEB1683	SAMEA1557419	ERX149134	ERR173171	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173171/ERR173171.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173171/ERR173171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173171/ERR173171_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173171/DU23M02_Duroc_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173171
PRJEB1683	SAMEA1557423	ERX149135	ERR173172	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173172/ERR173172.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173172/ERR173172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173172/ERR173172_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173172/DU23M03_Duroc_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173172
PRJEB1683	SAMEA1557434	ERX149136	ERR173173	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173173/ERR173173.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173173/ERR173173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173173/ERR173173_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173173/DU23M04_Duroc_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173173
PRJEB1683	SAMEA1557391	ERX149137	ERR173174	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173174/ERR173174.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173174/ERR173174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173174/ERR173174_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173174/HA20U01_Hampshire_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173174
PRJEB1683	SAMEA1557400	ERX149138	ERR173175	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173175/ERR173175.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173175/ERR173175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173175/ERR173175_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173175/HA20U02_Hampshire_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173175
PRJEB1683	SAMEA1557414	ERX149139	ERR173176	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173176/ERR173176.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173176/ERR173176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173176/ERR173176_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173176/INDO22_Sumatra_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173176
PRJEB1683	SAMEA1557429	ERX149140	ERR173177	41807	Sus barbatus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173177/ERR173177.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173177/ERR173177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173177/ERR173177_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173177/INDO26_Sbarbatus_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173177
PRJEB1683	SAMEA1557417	ERX149141	ERR173178	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173178/ERR173178.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173178/ERR173178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173178/ERR173178_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173178/INDO33_Sumatra_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173178
PRJEB1683	SAMEA1557388	ERX149142	ERR173179	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173179/ERR173179.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173179/ERR173179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173179/ERR173179_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173179/JQ01U02_Jiangquhai_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173179
