study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA260763	SAMN03031140	SRX703534	SRR1577875	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/005/SRR1577875/SRR1577875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/005/SRR1577875/SRR1577875_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR157/005/SRR1577875
PRJNA260763	SAMN03031141	SRX703535	SRR1577876	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/006/SRR1577876/SRR1577876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/006/SRR1577876/SRR1577876_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR157/006/SRR1577876
PRJNA260763	SAMN03031142	SRX703536	SRR1577877	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/007/SRR1577877/SRR1577877_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/007/SRR1577877/SRR1577877_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR157/007/SRR1577877
PRJNA260763	SAMN03031143	SRX703537	SRR1577878	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/008/SRR1577878/SRR1577878_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/008/SRR1577878/SRR1577878_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR157/008/SRR1577878
PRJNA260763	SAMN03031144	SRX703538	SRR1577879	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/009/SRR1577879/SRR1577879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/009/SRR1577879/SRR1577879_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR157/009/SRR1577879
PRJNA260763	SAMN03031145	SRX703539	SRR1577880	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/000/SRR1577880/SRR1577880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/000/SRR1577880/SRR1577880_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR157/000/SRR1577880
PRJNA260763	SAMN03031146	SRX703540	SRR1581024	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/004/SRR1581024/SRR1581024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/004/SRR1581024/SRR1581024_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/004/SRR1581024
PRJNA260763	SAMN03031147	SRX703541	SRR1581025	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/005/SRR1581025/SRR1581025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/005/SRR1581025/SRR1581025_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/005/SRR1581025
PRJNA260763	SAMN03031148	SRX703542	SRR1581026	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/006/SRR1581026/SRR1581026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/006/SRR1581026/SRR1581026_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/006/SRR1581026
PRJNA260763	SAMN03031149	SRX703543	SRR1581027	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/007/SRR1581027/SRR1581027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/007/SRR1581027/SRR1581027_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/007/SRR1581027
PRJNA260763	SAMN03031150	SRX703544	SRR1581028	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/008/SRR1581028/SRR1581028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/008/SRR1581028/SRR1581028_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/008/SRR1581028
PRJNA260763	SAMN03031150	SRX703544	SRR1581029	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/009/SRR1581029/SRR1581029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/009/SRR1581029/SRR1581029_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/009/SRR1581029
PRJNA260763	SAMN03031150	SRX703544	SRR1581030	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/000/SRR1581030/SRR1581030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/000/SRR1581030/SRR1581030_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/000/SRR1581030
PRJNA260763	SAMN03031151	SRX703545	SRR1581031	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/001/SRR1581031/SRR1581031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/001/SRR1581031/SRR1581031_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/001/SRR1581031
PRJNA260763	SAMN03031151	SRX703545	SRR1581032	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/002/SRR1581032/SRR1581032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/002/SRR1581032/SRR1581032_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/002/SRR1581032
PRJNA260763	SAMN03031152	SRX703546	SRR1581033	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/003/SRR1581033/SRR1581033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/003/SRR1581033/SRR1581033_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/003/SRR1581033
PRJNA260763	SAMN03031152	SRX703546	SRR1581034	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/004/SRR1581034/SRR1581034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/004/SRR1581034/SRR1581034_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/004/SRR1581034
PRJNA260763	SAMN03031153	SRX703547	SRR1581035	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/005/SRR1581035/SRR1581035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/005/SRR1581035/SRR1581035_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/005/SRR1581035
PRJNA260763	SAMN03031153	SRX703547	SRR1581036	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/006/SRR1581036/SRR1581036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/006/SRR1581036/SRR1581036_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/006/SRR1581036
PRJNA260763	SAMN03031154	SRX703548	SRR1581037	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/007/SRR1581037/SRR1581037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/007/SRR1581037/SRR1581037_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/007/SRR1581037
PRJNA260763	SAMN03031154	SRX703548	SRR1581038	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/008/SRR1581038/SRR1581038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/008/SRR1581038/SRR1581038_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/008/SRR1581038
PRJNA260763	SAMN03031154	SRX703548	SRR1581039	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/009/SRR1581039/SRR1581039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/009/SRR1581039/SRR1581039_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/009/SRR1581039
PRJNA260763	SAMN03031155	SRX703549	SRR1581040	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/000/SRR1581040/SRR1581040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/000/SRR1581040/SRR1581040_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/000/SRR1581040
PRJNA260763	SAMN03031156	SRX703550	SRR1581041	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/001/SRR1581041/SRR1581041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/001/SRR1581041/SRR1581041_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/001/SRR1581041
PRJNA260763	SAMN03031156	SRX703550	SRR1581042	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/002/SRR1581042/SRR1581042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/002/SRR1581042/SRR1581042_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/002/SRR1581042
PRJNA260763	SAMN03031157	SRX703551	SRR1581043	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/003/SRR1581043/SRR1581043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/003/SRR1581043/SRR1581043_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/003/SRR1581043
PRJNA260763	SAMN03031158	SRX703552	SRR1581044	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/004/SRR1581044/SRR1581044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/004/SRR1581044/SRR1581044_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/004/SRR1581044
PRJNA260763	SAMN03031159	SRX703553	SRR1581045	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/005/SRR1581045/SRR1581045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/005/SRR1581045/SRR1581045_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/005/SRR1581045
PRJNA260763	SAMN03031160	SRX703554	SRR1581046	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/006/SRR1581046/SRR1581046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/006/SRR1581046/SRR1581046_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/006/SRR1581046
PRJNA260763	SAMN03031161	SRX703555	SRR1581047	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/007/SRR1581047/SRR1581047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/007/SRR1581047/SRR1581047_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/007/SRR1581047
PRJNA260763	SAMN03031162	SRX703557	SRR1581048	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/008/SRR1581048/SRR1581048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/008/SRR1581048/SRR1581048_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/008/SRR1581048
PRJNA260763	SAMN03031163	SRX703558	SRR1581049	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/009/SRR1581049/SRR1581049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/009/SRR1581049/SRR1581049_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/009/SRR1581049
PRJNA260763	SAMN03031164	SRX703559	SRR1581050	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/000/SRR1581050/SRR1581050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/000/SRR1581050/SRR1581050_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/000/SRR1581050
PRJNA260763	SAMN03031165	SRX703560	SRR1581051	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/001/SRR1581051/SRR1581051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/001/SRR1581051/SRR1581051_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/001/SRR1581051
PRJNA260763	SAMN03031166	SRX703561	SRR1581052	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/002/SRR1581052/SRR1581052_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/002/SRR1581052/SRR1581052_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/002/SRR1581052
PRJNA260763	SAMN03031167	SRX703562	SRR1581053	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/003/SRR1581053/SRR1581053_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/003/SRR1581053/SRR1581053_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/003/SRR1581053
PRJNA260763	SAMN03031168	SRX703563	SRR1581054	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/004/SRR1581054/SRR1581054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/004/SRR1581054/SRR1581054_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/004/SRR1581054
PRJNA260763	SAMN03031169	SRX703564	SRR1581055	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/005/SRR1581055/SRR1581055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/005/SRR1581055/SRR1581055_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/005/SRR1581055
PRJNA260763	SAMN03031170	SRX703565	SRR1581056	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/006/SRR1581056/SRR1581056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/006/SRR1581056/SRR1581056_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/006/SRR1581056
PRJNA260763	SAMN03031171	SRX703566	SRR1581057	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/007/SRR1581057/SRR1581057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/007/SRR1581057/SRR1581057_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/007/SRR1581057
PRJNA260763	SAMN03031171	SRX703566	SRR1581058	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/008/SRR1581058/SRR1581058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/008/SRR1581058/SRR1581058_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/008/SRR1581058
PRJNA260763	SAMN03031171	SRX703566	SRR1581059	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/009/SRR1581059/SRR1581059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/009/SRR1581059/SRR1581059_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/009/SRR1581059
PRJNA260763	SAMN03031172	SRX703567	SRR1581060	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/000/SRR1581060/SRR1581060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/000/SRR1581060/SRR1581060_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/000/SRR1581060
