study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA260763	SAMN03031178	SRX703573	SRR1581077	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/007/SRR1581077/SRR1581077_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/007/SRR1581077/SRR1581077_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/007/SRR1581077
PRJNA260763	SAMN03031178	SRX703573	SRR1581078	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/008/SRR1581078/SRR1581078_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/008/SRR1581078/SRR1581078_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/008/SRR1581078
PRJNA260763	SAMN03031178	SRX703573	SRR1581079	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/009/SRR1581079/SRR1581079_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/009/SRR1581079/SRR1581079_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/009/SRR1581079
PRJNA260763	SAMN03031179	SRX703574	SRR1581080	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/000/SRR1581080/SRR1581080_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/000/SRR1581080/SRR1581080_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/000/SRR1581080
PRJNA260763	SAMN03031179	SRX703574	SRR1581081	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/001/SRR1581081/SRR1581081_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/001/SRR1581081/SRR1581081_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/001/SRR1581081
PRJNA260763	SAMN03031179	SRX703574	SRR1581082	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/002/SRR1581082/SRR1581082_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/002/SRR1581082/SRR1581082_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/002/SRR1581082
PRJNA260763	SAMN03031180	SRX703575	SRR1581083	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/003/SRR1581083/SRR1581083_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/003/SRR1581083/SRR1581083_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/003/SRR1581083
PRJNA260763	SAMN03031180	SRX703575	SRR1581084	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/004/SRR1581084/SRR1581084_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/004/SRR1581084/SRR1581084_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/004/SRR1581084
PRJNA260763	SAMN03031180	SRX703575	SRR1581085	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/005/SRR1581085/SRR1581085_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/005/SRR1581085/SRR1581085_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/005/SRR1581085
PRJNA260763	SAMN03031181	SRX703577	SRR1581107	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/007/SRR1581107/SRR1581107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR158/007/SRR1581107/SRR1581107_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR158/007/SRR1581107
